GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "08000","Colorado",7,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2012 dollars",12005883,12657959,13153250,13673801,13957415,14397625,14699370,15743335,16351701,16587511,16955651,17396035,17664371,18423179,19587606,20438916,20927571,21626461,22312939,22220585,23115365
 "08000","Colorado",7,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2012 dollars",10704404,10945759,10754162,10990452,11635198,11876615,11891050,11861624,11014424,11362457,11860985,12085932,13224310,13779118,14806131,15082682,15786286,15985593,16206880,12128553,15640187
 "08000","Colorado",7,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2012 dollars",2854918,3003774,2889905,2595064,2821017,2846299,2875751,3001379,2961221,3133050,3243198,3264994,4108002,4627654,5010395,5193054,5394629,5366073,5042672,3403316,4327918
 "08000","Colorado",7,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2012 dollars",7837991,7925830,7852063,8408698,8823210,9041649,9025175,8864592,8053432,8229012,8617581,8820938,9119871,9160890,9806751,9903677,10404671,10627639,11148821,8698369,11275315
 "08000","Colorado",7,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2012 dollars",6797630,6971327,6939023,6937657,6986288,6965567,6899502,6754109,6276941,6124081,6090847,6250863,6296248,6541638,6678651,6716496,6840409,7152458,7284336,6765601,7173945
 "08000","Colorado",7,CAGDP9,83,"...","Government and government enterprises ","Thousands of chained 2012 dollars",33687787,34766442,34725898,34438902,34758298,34144428,33584509,34968354,34944630,35124970,34800884,34721270,34598426,35133212,36184923,37254119,38314275,38894926,39711851,40344687,41221572
 "08000","Colorado",7,CAGDP9,87,"11, 21","Natural resources and mining ","Thousands of chained 2012 dollars",9107145,9146163,9969080,11035267,13628370,14729036,14222722,15066696,16751399,14804843,14853498,14952726,16131524,20267433,24420425,24766073,25385791,26062206,28688696,27105848,19743491
 "08000","Colorado",7,CAGDP9,88,"42, 44-45","Trade ","Thousands of chained 2012 dollars",27863203,28194743,28693203,29042558,30232815,30817435,31787681,31649821,28837381,29771700,29799363,30706252,31605870,33097888,34690738,35740043,36922915,37958312,38896546,39081748,40590606
 "08000","Colorado",7,CAGDP9,89,"22, 48-49","Transportation and utilities ","Thousands of chained 2012 dollars",8766660,8766079,9404332,10589577,11179812,10324173,11036840,10969275,10094948,11148757,11075318,11522391,13287082,13985245,14520750,13928852,14173162,14773623,14831876,13179534,14326158
 "08000","Colorado",7,CAGDP9,90,"31-33, 51","Manufacturing and information ","Thousands of chained 2012 dollars",29632449,29495469,29539777,30928824,32992911,35682628,39047941,39859995,38858920,39872060,40102285,38866583,40296661,41234078,41367032,41382683,42334104,46175641,50006005,52264077,56795192
 "08000","Colorado",7,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2012 dollars",40726933,40600048,40433557,42970220,46229122,48515347,49199856,49717766,48969218,45699263,45855206,45932027,49375847,55884716,61099298,62217013,63671324,66520885,70135394,69010362,66501310
 "08000","Colorado",7,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2012 dollars",160856042,160468947,162952977,163710810,170871772,174951538,184227753,186467304,181175991,187014897,191031805,196169846,202289527,207663233,215264594,219585777,227924173,237399123,248795678,244100780,265279815
 "08001","Adams, CO*",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2012 dollars",14268820,14584573,15088930,15738976,16220770,16667063,17170059,19261437,18566607,18553044,18580702,18767510,19500317,21116345,21933789,22858520,23753188,24704265,25786729,25890313,27509311
 "08001","Adams, CO*",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2012 dollars",12646657,12853126,13339668,14015085,14632357,15043192,15561998,16512171,15488117,15517963,15614880,15817125,16485875,17994511,18634291,19377848,20072779,20786401,21380257,21380700,22760959
 "08001","Adams, CO*",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2012 dollars",8194,31949,7784,(D),11668,27533,18526,59291,69186,79415,107852,91844,61250,(D),(D),52295,45305,(D),108041,59565,106451
 "08001","Adams, CO*",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2012 dollars",87612,92838,97739,93617,118236,117253,107363,114843,114203,99863,98295,88556,148233,191541,155127,143827,164388,292213,687509,481715,513396
 "08001","Adams, CO*",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2012 dollars",268581,262774,294588,(D),275607,276817,286966,283238,220232,281461,293534,229317,229586,(D),(D),304182,288787,(D),294011,316902,258979
 "08001","Adams, CO*",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2012 dollars",2032738,1884206,1697623,1762698,1716181,1534866,1391635,1247867,1118046,1034503,1160590,1259891,1439368,1665544,1799239,2095649,2159403,2216281,2202279,2172623,2206816
 "08001","Adams, CO*",7,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2012 dollars",1485558,1582874,1787873,2186141,2471002,2618591,2857304,3222972,2990829,2630223,2323748,2247780,2355925,3160318,3125134,3027844,2745901,2659620,2608748,2806689,3222615
 "08001","Adams, CO*",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2012 dollars",487410,502084,533797,638750,702496,865210,1105117,903728,736376,827007,815089,745206,881116,904150,967139,909957,901015,964018,994146,970645,1008786
 "08001","Adams, CO*",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2012 dollars",942357,1060197,1298869,1625702,1881985,1766147,1660320,2393619,2389532,1820920,1507044,1502573,1469899,2280896,2170048,2138028,1834609,1666576,1575765,1836011,2248032
 "08001","Adams, CO*",7,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2012 dollars",1432279,1488378,1593750,1690471,1887471,2044320,2126574,2156267,1838330,1885583,1912777,1995607,2141960,2299722,2448640,2570889,2733083,2850105,2834701,2890628,3070351
 "08001","Adams, CO*",7,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2012 dollars",1021841,1015465,1049141,1057930,1120484,1131420,1175015,1206955,1114586,1166048,1230820,1248993,1236004,1230054,1312478,1379312,1408365,1454954,1521187,1573457,1603960
 "08001","Adams, CO*",7,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2012 dollars",1134304,1128305,1168012,1289004,1289643,1241620,1163427,1171265,1083375,1090434,1071438,1126796,1178123,1204924,1293180,1367239,1485838,1706784,1402575,1604472,1592338
 "08001","Adams, CO*",7,CAGDP9,45,"51","  Information ","Thousands of chained 2012 dollars",269306,267663,272907,(D),372877,400071,431668,481298,501145,537556,565911,544856,734053,728047,741310,595988,753770,747411,935923,1049638,1184588
 "08001","Adams, CO*",7,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2012 dollars",2721835,2810353,2916292,2792279,2633907,2761944,2999160,3252331,3198198,3312858,3374469,3360146,3202481,3309144,3317387,3479797,3505510,3580619,3726178,3635569,3807792
 "08001","Adams, CO*",7,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2012 dollars",315829,327905,315791,288084,265100,264715,274170,263776,298837,283125,306868,328116,310182,311179,329045,329461,341787,340913,350814,404198,434719
 "08001","Adams, CO*",7,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2012 dollars",2397851,2473936,2593415,2498803,2364353,2493937,2722865,2988955,2900059,3029126,3067369,3032030,2892330,2998403,2987657,3151038,3163166,3240663,3377244,3220527,3359620
 "08001","Adams, CO*",7,CAGDP9,59,"54, 55, 56","  Professional and business services ","Thousands of chained 2012 dollars",781510,810336,915424,1005058,1125147,1220843,1265168,1358897,1266426,1372057,1383002,1434618,1439732,1552890,1658255,1750859,2009262,2054981,2145167,2192429,2505556
 "08001","Adams, CO*",7,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2012 dollars",257841,260908,296007,320518,371368,411152,449620,545674,541292,593492,619339,661178,653723,704815,740171,794832,946889,915556,964276,1001763,1172684
 "08001","Adams, CO*",7,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2012 dollars",127180,133823,148823,200453,226949,226538,185797,189884,144477,157821,154899,152253,164046,168529,188095,201732,225425,242718,264378,264290,315331
 "08001","Adams, CO*",7,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2012 dollars",393791,413435,467474,489050,532810,587314,631258,623892,580654,620748,608768,621188,621984,679284,729770,755035,839605,896919,919455,929959,1028654
 "08001","Adams, CO*",7,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance ","Thousands of chained 2012 dollars",583951,619001,661079,704595,735333,787681,851717,1110500,1193215,1240227,1248337,1275015,1283476,1311413,1332924,1372321,1415923,(D),1520922,1410313,1444243
 "08001","Adams, CO*",7,CAGDP9,69,"61","   Educational services ","Thousands of chained 2012 dollars",45156,49869,70269,96280,112859,129737,136544,142644,167817,173818,142139,126131,101178,99476,84063,71470,66633,(D),70672,61433,66489
 "08001","Adams, CO*",7,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2012 dollars",534577,564937,588458,608111,623347,659453,716606,968139,1026201,1067225,1106327,1148884,1182538,1212288,1249888,1302551,1351385,1399241,1452554,1351261,1379973
